Active	Expansion	Instance Type	Order	Instance ID	Min Level	Max Level	Group Size	Dungeon Group	EN-US Instance Name	EN Instance Short Name	IconFile	ActivityID
No	Wrath of the Lich King	Wrath of the Lich King Heroic Raids - 25	3550	724	80	80	25	Heroic Ruby Sanctum - 25	Heroic Ruby Sanctum - 25		RS	1109
No	Wrath of the Lich King	Wrath of the Lich King Heroic Raids - 25	3540	631	80	80	25	Heroic Icecrown Citadel - 25	Heroic Icecrown Citadel - 25		ICC	1111
No	Wrath of the Lich King	Wrath of the Lich King Heroic Raids - 25	3530	649	80	80	25	Heroic Trial of the Grand Crusader - 25	Heroic Trial of the Grand Crusader - 25		TOC Raid	1105
No	Wrath of the Lich King	Wrath of the Lich King Heroic Raids - 10	3520	724	80	80	10	Heroic Ruby Sanctum - 10	Heroic Ruby Sanctum - 10		RS	1108
No	Wrath of the Lich King	Wrath of the Lich King Heroic Raids - 10	3510	631	80	80	10	Heroic Icecrown Citadel - 10	Heroic Icecrown Citadel - 10		ICC	1110
No	Wrath of the Lich King	Wrath of the Lich King Heroic Raids - 10	3500	649	80	80	10	Heroic Trial of the Grand Crusader - 10	Heroic Trial of the Grand Crusader - 10		TOC Raid	1103
No	Wrath of the Lich King	Wrath of the Lich King Raids - 25	3490	724	80	80	25	Ruby Sanctum - 25	Ruby Sanctum - 25		RS	1109
No	Wrath of the Lich King	Wrath of the Lich King Raids - 25	3480	631	80	80	25	Icecrown Citadel - 25	Icecrown Citadel - 25		ICC	1111
No	Wrath of the Lich King	Wrath of the Lich King Raids - 25	3470	649	80	80	25	Trial of the Crusader - 25	Trial of the Crusader - 25		TOC Raid	1104
No	Wrath of the Lich King	Wrath of the Lich King Raids - 25	3460	603	80	80	25	Ulduar - 25	Ulduar - 25		ULD	1107
No	Wrath of the Lich King	Wrath of the Lich King Raids - 25	3450	249	80	80	25	Onyxia's Lair - 25	Onyxia's Lair - 25		ONY	1099
Yes	Wrath of the Lich King	Wrath of the Lich King Raids - 25	3440	616	80	80	25	Eye of Eternity - 25	Eye of Eternity - 25		EOE	1094
Yes	Wrath of the Lich King	Wrath of the Lich King Raids - 25	3430	533	80	80	25	Naxxramas - 25	Naxxramas - 25		NAX	1098
Yes	Wrath of the Lich King	Wrath of the Lich King Raids - 25	3420	615	80	80	25	Obsidian Sanctum - 25	Obsidian Sanctum - 25		OS	1097
Yes	Wrath of the Lich King	Wrath of the Lich King Raids - 25	3410	624	80	80	25	Vault of Archavon - 25	Vault of Archavon - 25		VOA	1096
No	Wrath of the Lich King	Wrath of the Lich King Raids - 10	3400	724	80	80	10	Ruby Sanctum - 10	Ruby Sanctum - 10		RS	1108
No	Wrath of the Lich King	Wrath of the Lich King Raids - 10	3390	631	80	80	10	Icecrown Citadel - 10	Icecrown Citadel - 10		ICC	1110
No	Wrath of the Lich King	Wrath of the Lich King Raids - 10	3380	649	80	80	10	Trial of the Crusader - 10	Trial of the Crusader - 10		TOC Raid	1100
No	Wrath of the Lich King	Wrath of the Lich King Raids - 10	3370	603	80	80	10	Ulduar - 10	Ulduar - 10		ULD	1106
No	Wrath of the Lich King	Wrath of the Lich King Raids - 10	3360	249	80	80	10	Onyxia's Lair - 10	Onyxia's Lair - 10		ONY	1156
Yes	Wrath of the Lich King	Wrath of the Lich King Raids - 10	3350	616	80	80	10	Eye of Eternity - 10	Eye of Eternity - 10		EOE	1102
Yes	Wrath of the Lich King	Wrath of the Lich King Raids - 10	3340	615	80	80	10	Obsidian Sanctum - 10	Obsidian Sanctum - 10		OS	1101
Yes	Wrath of the Lich King	Wrath of the Lich King Raids - 10	3330	533	80	80	10	Naxxramas - 10	Naxxramas - 10		NAX	841
